###############################################################
#  Generated by:      Cadence Innovus 19.11-s128_1
#  OS:                Linux x86_64(Host ID cn98.it.auth.gr)
#  Generated on:      Fri Feb 10 21:52:48 2023
#  Design:            picorv32
#  Command:           report_timing > timing.txt
###############################################################
Path 1: MET Late External Delay Assertion 
Endpoint:   mem_la_addr[31] (v) checked with  leading edge of 'clk'
Beginpoint: resetn          (^) triggered by  leading edge of 'clk'
Path Groups: {clk}
Analysis View: default_emulate_view
Other End Arrival Time          0.000
- External Delay                1.000
+ Phase Shift                  10.000
- Uncertainty                   0.050
= Required Time                 8.950
- Arrival Time                  2.606
= Slack Time                    6.344
     Clock Rise Edge                      0.000
     + Input Delay                        1.000
     + Drive Adjustment                   0.048
     = Beginpoint Arrival Time            1.048
     +----------------------------------------------------------------------------------------+ 
     |         Instance          |        Arc        |   Cell    | Delay | Arrival | Required | 
     | inc_add_382_74_g397       | B ^ -> Y v        | NAND2X1   | 0.024 |   2.125 |    8.469 | 
     | inc_add_382_74_g395       | B v -> Y ^        | NOR2BX1   | 0.022 |   2.147 |    8.491 | 
     | inc_add_382_74_g393       | A ^ -> Y ^        | AND2X1    | 0.032 |   2.179 |    8.523 | 
     | inc_add_382_74_g391       | A ^ -> Y ^        | AND2X1    | 0.032 |   2.210 |    8.555 | 
     | inc_add_382_74_g389       | B ^ -> Y v        | NAND2X1   | 0.025 |   2.236 |    8.580 | 
     | inc_add_382_74_g387       | B v -> Y ^        | NOR2BX1   | 0.030 |   2.266 |    8.611 | 
     | inc_add_382_74_g385       | B ^ -> Y v        | NAND2X1   | 0.026 |   2.293 |    8.637 | 
     | inc_add_382_74_g383       | B v -> Y v        | XNOR2X1   | 0.041 |   2.333 |    8.678 | 
     | g188365                   | B v -> Y v        | MX2XL     | 0.041 |   2.374 |    8.719 | 
     | FE_OFC968_mem_la_addr_31  | A v -> Y ^        | INVX1     | 0.013 |   2.387 |    8.732 | 
     | FE_OFC969_mem_la_addr_31  | A ^ -> Y v        | INVX1     | 0.017 |   2.405 |    8.749 | 
     | FE_OFC1098_mem_la_addr_31 | A v -> Y ^        | INVX1     | 0.049 |   2.454 |    8.799 | 
     | FE_OFC1099_mem_la_addr_31 | A ^ -> Y v        | CLKINVX20 | 0.135 |   2.589 |    8.933 | 
     |                           | mem_la_addr[31] v |           | 0.017 |   2.606 |    8.950 | 
     +----------------------------------------------------------------------------------------+ 

