###############################################################
#  Generated by:      Cadence Innovus 19.11-s128_1
#  OS:                Linux x86_64(Host ID cn98.it.auth.gr)
#  Generated on:      Fri Feb 10 23:34:01 2023
#  Design:            picorv32
#  Command:           report_timing > timing.txt
###############################################################
Path 1: MET Late External Delay Assertion 
Endpoint:   mem_la_addr[31] (v) checked with  leading edge of 'clk'
Beginpoint: resetn          (^) triggered by  leading edge of 'clk'
Path Groups: {clk}
Analysis View: default_emulate_view
Other End Arrival Time          0.000
- External Delay                1.000
+ Phase Shift                  10.000
- Uncertainty                   0.050
= Required Time                 8.950
- Arrival Time                  2.618
= Slack Time                    6.332
     Clock Rise Edge                      0.000
     + Input Delay                        1.000
     + Drive Adjustment                   0.032
     = Beginpoint Arrival Time            1.033
     +----------------------------------------------------------------------------------------+ 
     |         Instance          |        Arc        |   Cell    | Delay | Arrival | Required | 
     | inc_add_382_74_g397       | B ^ -> Y v        | NAND2X1   | 0.024 |   2.117 |    8.450 | 
     | inc_add_382_74_g395       | B v -> Y ^        | NOR2BX1   | 0.023 |   2.140 |    8.472 | 
     | inc_add_382_74_g393       | A ^ -> Y ^        | AND2X1    | 0.031 |   2.171 |    8.504 | 
     | inc_add_382_74_g391       | A ^ -> Y ^        | AND2X1    | 0.033 |   2.205 |    8.537 | 
     | inc_add_382_74_g389       | B ^ -> Y v        | NAND2X1   | 0.039 |   2.244 |    8.576 | 
     | inc_add_382_74_g387       | B v -> Y ^        | NOR2BX1   | 0.035 |   2.279 |    8.611 | 
     | inc_add_382_74_g385       | B ^ -> Y v        | NAND2X1   | 0.027 |   2.306 |    8.639 | 
     | inc_add_382_74_g383       | B v -> Y v        | XNOR2X1   | 0.042 |   2.348 |    8.681 | 
     | g188365                   | B v -> Y v        | MX2XL     | 0.036 |   2.385 |    8.717 | 
     | FE_OFC982_mem_la_addr_31  | A v -> Y ^        | INVX1     | 0.018 |   2.403 |    8.735 | 
     | FE_OFC983_mem_la_addr_31  | A ^ -> Y v        | INVX1     | 0.013 |   2.416 |    8.748 | 
     | FE_OFC1224_mem_la_addr_31 | A v -> Y ^        | INVX1     | 0.050 |   2.466 |    8.799 | 
     | FE_OFC1225_mem_la_addr_31 | A ^ -> Y v        | CLKINVX20 | 0.144 |   2.610 |    8.942 | 
     |                           | mem_la_addr[31] v |           | 0.008 |   2.618 |    8.950 | 
     +----------------------------------------------------------------------------------------+ 

