###############################################################
#  Generated by:      Cadence Innovus 19.11-s128_1
#  OS:                Linux x86_64(Host ID cn98.it.auth.gr)
#  Generated on:      Fri Feb 10 17:17:58 2023
#  Design:            picorv32
#  Command:           report_timing > ex2_st12_timing.txt
###############################################################
Path 1: MET Late External Delay Assertion 
Endpoint:   mem_la_addr[30] (v) checked with  leading edge of 'clk'
Beginpoint: resetn          (^) triggered by  leading edge of 'clk'
Path Groups: {clk}
Analysis View: default_emulate_view
Other End Arrival Time          0.000
- External Delay                1.000
+ Phase Shift                  10.000
- Uncertainty                   0.050
= Required Time                 8.950
- Arrival Time                  2.687
= Slack Time                    6.263
     Clock Rise Edge                      0.000
     + Input Delay                        1.000
     + Drive Adjustment                   0.043
     = Beginpoint Arrival Time            1.043
     +---------------------------------------------------------------------------------------+ 
     |         Instance         |        Arc        |   Cell    | Delay | Arrival | Required | 
     | inc_add_382_74_g397      | B ^ -> Y v        | NAND2X1   | 0.026 |   2.100 |    8.362 | 
     | inc_add_382_74_g395      | B v -> Y ^        | NOR2BX1   | 0.023 |   2.123 |    8.386 | 
     | inc_add_382_74_g393      | A ^ -> Y ^        | AND2X1    | 0.031 |   2.154 |    8.417 | 
     | inc_add_382_74_g391      | A ^ -> Y ^        | AND2X1    | 0.034 |   2.188 |    8.451 | 
     | inc_add_382_74_g389      | B ^ -> Y v        | NAND2X1   | 0.033 |   2.221 |    8.483 | 
     | inc_add_382_74_g387      | B v -> Y ^        | NOR2BX1   | 0.038 |   2.258 |    8.521 | 
     | inc_add_382_74_g385      | B ^ -> Y v        | NAND2X1   | 0.031 |   2.289 |    8.552 | 
     | g189588                  | B0 v -> Y ^       | OAI21X1   | 0.016 |   2.305 |    8.568 | 
     | g189587                  | B ^ -> Y v        | MXI2XL    | 0.056 |   2.361 |    8.624 | 
     | FE_OFC490_mem_la_addr_30 | A v -> Y ^        | INVXL     | 0.076 |   2.437 |    8.700 | 
     | FE_OFC491_mem_la_addr_30 | A ^ -> Y v        | INVXL     | 0.047 |   2.485 |    8.748 | 
     | FE_OFC752_mem_la_addr_30 | A v -> Y ^        | INVX1     | 0.050 |   2.535 |    8.798 | 
     | FE_OFC753_mem_la_addr_30 | A ^ -> Y v        | CLKINVX20 | 0.126 |   2.661 |    8.924 | 
     |                          | mem_la_addr[30] v |           | 0.026 |   2.687 |    8.950 | 
     +---------------------------------------------------------------------------------------+ 

